FCLTY_NM,KEYWORDS,ST_ADDRESS,LOCALITY,MAIL_ADD,POSTAL_CD,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,CONT_PHONE,CONT_FAX,ADDRESS,DT_UPDATE,GEOCD_IND,SRCDATA_ID,CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SHAPE,SEQ_ID,X,Y
Castlegar Community Harvest Food Bank,Food; Food Bank,614 Christina Pl,Castlegar,C/O 301 - 32nd Street,V1N 3S6,,,49.3097038,-117.6591596,250-608-2227,,"614 Christina Pl, Castlegar, BC",20180601223150,,180,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,180,1605641.4420000005,512760.3329999987
Prince Rupert Salvation Army Family Services,Food; Food Bank,,Prince Rupert,25 Grenville Court,V8J 1R3,,,54.3105046,-130.3263202,250-624-6325,250-624-8157,"Prince Rupert, BC",20180601223150,,160,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,160,719359.8549999999,1042844.8290000008
St. Mark's Food Bank,Food; Food Bank,,Dawson Creek,1029 103 Avenue,V1G 2G6,,,55.757946,-120.231682,250-782-2939,,"Dawson Creek, BC",20180601223150,,179,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,179,1360848.3359999997,1210542.4270000001
Richmond Food Bank Society,Food; Food Bank,,Richmond,100-5800 Cedarbridge Way,V6X 2A7,http://richmondfoodbank.org/,,49.173007999999996,-123.142021,604-271-5609,,"Richmond, BC",20180601223150,,163,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,163,1208559.7349999994,466062.5080000032
Surrey Food Bank,Food; Food Bank,10732 City Parkway,Surrey,10732 City Parkway,V3T 4C7,https://www.surreyfoodbank.org/,,49.1978135,-122.848643,604-581-5443,,"10732 City Parkway, Surrey, BC",20180601223150,,144,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,144,1229832.7389999996,469724.2979999967
Tansi Friendship Centre,Food; Food Bank,5301 South Access Road,Chetwynd,P.O. Box 418,V0C 1J0,,,55.695904,-121.635384,250-788-2996,250-788-2353,"5301 South Access Road, Chetwynd, BC",20180601223150,,133,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,133,1273592.9379999987,1197344.722
Cowichan Valley Basket Society,Food; Food Bank,5810 Garden St,Duncan,5810 Garden St,V9L 3V9,https://www.cvbs.ca/,,48.7817,-123.705765,250-746-1566,,"5810 Garden St, Duncan, BC",20180601223150,,140,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,140,1168845.1510000012,421128.42599999625
Cawston - Keremeos Food Bank,Food; Food Bank,2334 Newton Road,Cawston,"C/O 2469 South Main Street, Penticton",V2A 5J1,,,49.1938653,-119.7753457,250-492-4788,,"2334 Newton Road, Cawston, BC",20180601223150,,147,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,147,1453576.0209999997,484123.30699999817
Nelson Salvation Army Family Services,Food; Food Bank,601 Vernon St,Nelson,PO Box 329,V1L 4E9,,,49.493412,-117.293404,250-352-3488,,"601 Vernon St, Nelson, BC",20180601223150,,141,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,141,1629563.6570000006,536219.923999995
100 Mile House Food Bank,Food; Food Bank,,100 Mile House,5693 Horse Lake Road,V0K 2E1,,,51.6162493,-121.2442164,250-395-3923,250-397-2579,"100 Mile House, BC",20180601223150,,149,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,149,1328633.0700000008,744778.1169999978
Greater Vancouver Food Bank Society,Food; Food Bank,,Vancouver,1150 Raymur Ave,V6A 3T2,https://www.foodbank.bc.ca/,,49.27467,-123.08242,604-876-3601,604-876-7323,"Vancouver, BC",20180601223150,,165,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,165,1212441.2709999993,477525.5299999984
Agassiz-Harrison Food Bank,Food; Food Bank,#5 - 7086 Cheam Ave,Agassiz,P.O. Box 564,V0M 1A0,http://agassiz-harrisoncs.ca/services/emergency-food-bank,,49.238419,-121.763626,604-796-2585,604-796-2517,"#5 - 7086 Cheam Ave, Agassiz, BC",20180601223150,,191,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,191,1308612.3149999992,478356.15800000075
Friends in Need Food Bank,Food; Food Bank,,Maple Ridge,#8 - 22726 Dewdney Trunk Rd,V2X 8K9,http://www.friendsneedfood.com/contact-information.html,,49.220431999999995,-122.591156,604-466-3663,604-463-1736,"Maple Ridge, BC",20180601223150,,192,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,192,1248476.6860000014,473104.44900000095
